Código,Cantidad,Nombre del Producto,Categoria
09-053,1,"ADAPTADOR TIPO C A TIPO C Y AUDIO 3,5MM HEMBRA 09-053",Adaptador
09-057,1,CONECTOR USB TIPO C MACHO A AUDIO 3.5 HEMBRA / MALLADO 09-057,Malla
1TJ09A,1,IMPRESORA A COLOR MULTIFUNCION HP SMART TANK 515 CON WIFI,Conectividad
2,1,CABLE PLUG 3.5 3MTS,Cable
4800,1,LAMPARA PROYECTOR SUNSET C/REMOTO USB 16 COLORES- NEGRO,Luces
8972,1,ESTABILIZADOR DE TENSION ATOMLUX R1000@ 220V 6 TOMAS 1000VA,Estabilizador
91009,1,PASTA GRASA SILICONADA METALICA X 5 CC. SERVEX 91009,Herramienta
9487,1,ADAPTADOR USB WIFI NOGA NG-UW04 DUAL BAND 600MBPS,Adaptador
A01-85607,11,MODULO PANTALLA  A03 / A03s / A02s / A04e  ORIG,Modulo
A01-R474,4,MODULO PANTALLA SAM A10 A105 ORIG,Modulo
A01-R66302,4,MODULO PANTALLA SAM A12 A125F ORIG MULTIVERSION*,Modulo
A01-R66319,1,MODULO PANTALLA SAMSUNG A02 A022F / M12 ORIGINAL SIN MARCO*,Modulo Original
A01-RC662326,3,MODULO PANTALLA SAM A04 SIN MARCO,Modulo
A01-RC66325,2,MODULO PANTALLA SAM A13 A135 4G / M13 ORIG*,Modulo
A01-RC663891,2,MODULO PANTALLA SAM A03 CORE A032F ORIG SIN MARCO,Modulo
A01-RC664788,2,MODULO PANTALLA SAM A12 A127F,Modulo
A01-RC85404,3,MODULO PANTALLA SAM A04E A042 SIN MARCO,Modulo
A01-RC85430,1,MODULO PANTALLA SAM A04S SIN MARCO,Modulo
A01-RC85541,2,MODULO PANTALLA SAM A06 SIN MARCO,Modulo
A02-R486,1,MODULO PANTALLA SAM A50 / A30 OLED SIN MARCO,Modulo
A02-R583,2,MODULO PANTALLA SAM A21S A217 ORIG SIN MARCO,Modulo
A02-RC66300,1,MODULO PANTALLA SAM A22 4G OL CON MARCO,Modulo
A02-RC66362,2,MODULO PANTALLA SAM A20 INC SIN MARCO,Modulo
A02-RC667420,3,MODULO PANTALLA SAM A22 5G OL SIN MARCO,Modulo
A02-RC857325,2,MODULO PANTALLA SAM A23 5G ORIG,Modulo
A03-R513,1,MODULO PANTALLA SAM J4 PLUS J4 CORE J6 PLUS J6CORE,Modulo
A03-R584,1,MODULO PANTALLA SAMS A31 SERVICE PACK,Modulo
A03-R585,2,MODULO PANTALLA SAM A51 A515 OL SIN MARCO*,Modulo
A03-R66279,2,MODULO PANTALLA SAM A31 OL CON MARCO*,Modulo
A03-R66303,2,MODULO PANTALLA SAM J7 PRIME G610 NEGRO S/L,Modulo
A03-RC66384,1,MODULO PANTALLA SAM S21 FE ORIG CON MARCO,Modulo
A03-RC669069,2,MODULO PANTALLA SAM A32 4G OL CON MARCO,Modulo
A03-RC85438,1,MODULO PANTALLA SAMSUNG A32 4G A325 INCELL CON MARCO,Modulo
A03-RC85462,1,MODULO PANTALLA SAM S23 ULTRA ORIG CON MARCO SERVICE PACK,Modulo
A03-RC85463,1,MODULO PANTALLA SAMSUNG S23 ULTRA OLED CON MARCO,Modulo
A03-RC855238,1,MODULO PANTALLA SAMSUNG J6 J600 INCELL,Modulo
A04-RC85431,1,MODULO PANTALLA SAM A54 SERVICE PACK,Modulo
A04-RC85528,2,MODULO PANTALLA SAM A35 A356 INCELL Silver Edition,Modulo
A04-RC85547,1,MODULO PANTALLA SAM A35 A356 SERVICE PACK,Modulo
A05-R457,1,MODULO PANTALLA M G7 / G7 PLUS*,Modulo
A05-R66290,1,MODULO PANTALLA MOTO G9 PLAY / E7 PLUS ORIG SIN MARCO*,Modulo
A05-R66291,2,MODULO PANTALLA MOTO G9 PLUS ORIG,Modulo
A05-R66306,1,MODULO PANTALLA MOTO G9 POWER SIN MARCO,Modulo
A05-RC66351,2,MODULO PANTALLA MOTO G42 ORIG SIN MARCO*,Modulo
A05-RC664176,2,MODULO PANTALLA MOTO G22 / E32 SIN MARCO*,Modulo
A05-RC85419,4,MODULO PANTALLA MOTO G32 ORIG SIN MARCO,Modulo
A05-RC85443,2,MODULO PANTALLA MOTO G13 / G23 SIN MARCO,Modulo
A05-RC85452,4,MODULO PANTALLA MOTO G72 - G52 5G - G82 5G - EDGE 30 - EDGE 2022 ORIG SIN MARCO*,Modulo
A05-RC85506,1,MODULO PANTALLA MO G14 / G54 ORIG SIN MARCO,Modulo
A05-RC85507,3,MODULO PANTALLA MOT G10 / G20 / G30 ORIG SIN MARCO,Modulo
A05-RC85510,2,MODULO PANTALLA  G72 - G52 5G - G82 5G - EDGE 30 -INC,Modulo
A05-RC85535,2,MODULO PANTALLA MO G04 / G24 ORIG SIN MARCO,Modulo
A05-RC85536,1,MODULO PANTALLA MOTO G85 / EDGE 50 FUSION ORIG SIN MARCO,Modulo
A06-R66311,1,MODULO PANTALLA MOTO E7 / E7 POWER / E7I / E7I POWER,Modulo
A06-RC66305,4,MODULO PANTALLA MOTO E40 ORIG SIN MARCO,Modulo
A06-RC66314,3,MODULO PANTALLA MOTO E20 ORIG SIN MARCO*,Modulo
A06-RC66345,1,MODULO PANTALLA MOTO G22 ORIG CON MARCO SERVICE PACK,Modulo
A06-RC66375,1,MODULO PANTALLA MOTO EDGE 30 ULTRA ORIG CON MARCO SERVICE PACK,Modulo
A06-RC851984,2,MODULO PANTALLA MOTO E22 / E22I / E22S ORIGINAL SIN MARCO*,Modulo Original
A06-RC852656,1,MODULO PANTALLA MOTO EDGE 30 NEO ORIGINAL SIN MARCO,Modulo Original
A06-RC85508,1,MODULO PANTALLA MOTO G200 ORIG SIN MARCO*,Modulo
A06-RC857281,2,MODULO PANTALLA M E13 ORIG SIN MARCO*,Modulo
A06-RC858852,1,MODULO PANTALLA MOTO EDGE 40 ORIG SIN MARCO,Modulo
A07-R564,3,MODULO PANTALLA NOTE 8 PRO,Modulo
A07-RC66291,1,MODULO PANTALLA XIAOMI MI NOTE 10 / MI NOTE 10 PRO CURVO,Modulo
A07-RC66365,1,MODULO PANTALLA XIAOMI MI NOTE 11 4G / 11S 4G OLED,Modulo
A07-RC66368,1,MODULO PANTALLA XIAOMI NOTE 10 4G / NOTE 10S OLED*,Modulo
A07-RC66388,3,MODULO PANTALLA POCO X3 / X3 PRO / MI 10T LITE 5G / NOTE9 PRO 5G*,Modulo
A07-RC66390,2,MODULO PANTALLA XIAOMI NOTE 10 PRO / NOTE 11 PRO OL,Modulo
A07-RC665943,1,MODULO PANTALLA XIAOMI MI NOTE 10 5G / M3 PRO 5G / NOTE 10T 5G,Modulo
A07-RC85427,3,MODULO PANTALLA XIAOMI REDMI 10 / 10 PRIME,Modulo
A07-RC85428,2,MODULO PANTALLA XIAOMI NOTE 10 PRO / NOTE 11 PRO INCELL,Modulo
A07-RC85465,1,MODULO PANTALLA XIA NOTE 10 / NOTE 10S INC,Modulo
A08-RC85484,1,MODULO PANTALLA IPHONE 12 / 12 PRO INCELL ZY,Modulo
A08-RC85496,1,MODULO PANTALLA IPH XR INC,Modulo
A08-RC85531,1,MODULO PANTALLA IPH 13 PRO MAX INCELL ,Modulo
A08-RC85600,1,MODULO PANTALLA IPHONE 11 - ORIG  BLACK EDITION ,Modulo
A1011,3,VENTILADOR DE MANO MINI PORTATIL RECARGABLE 3 VELOCIDADES / VERDE KLW-F8,Ventilador
A60103,1,AURICULAR MANOS LIBRE EARBUDS 3 MOTOROLA TURQUESA,Auricular
A60117,3,AURICULAR CABLE MAXXA A22+ COLORES,Auricular
A6026,3,AURICULAR CABLE SAMSUNG ORIGINAL RFTFB,Auricular
A6037,2,AURICULAR VINCHA CON CABLE BTS ONE PLUS C6347,Auricular
A6044,1,AURICULAR GAMER ONLY GM-854MV  MICRÃ“FONO CABLE ALTAVOZ AZUL,Auricular
A6054,2,AURICULAR MOTOROLA EARBUDS 2-S NEGRO,Auricular
A6101,2,AURICULAR MOTOROLA EARBUDS 3-S NEGRO,Auricular
A7022,1,CABLE ADAPTADOR DE 1 PLUG HEMBRA A 2 PLUG MACHO 3.5MM PC,Adaptador
A7030,10,ADAPTADOR ENCHUFES UNIVERSAL VIAJERO REFORZADO G99-008A20,Adaptador
A7034,3,CONVERSOR HDMI A RCA AUDIO Y VIDEO AV 1080P HDMI2AV,Conversor
AC173,1,ANILLO GRIP CORREA SOPORTE PARA CELULAR TABLET MAGNETICO A006,Soporte
AC183,1,MINI LICUADORA KS-K5,Accesorio
AC184,1,Ventilador Portatil Plegable 3 Velocidades Recargable KS-2102,Ventilador
AC7267,1,PULSERA MUÑEQUERA UNIVERSAL PARA CELULARES COLORES,Accesorio
AD2106,1,PLACA DE SONIDO USB DX-PLSON71 DINAX,Adaptador
AD2112,1,ADAPTADOR FICHA UNION EMPALME RJ45 ADAPTADOR HEMBRA A HEMBRA UTP CABLE DE RED XIBM69718,Adaptador
AD2131,2,RECEPTOR DE AUDIO BLUETOOTH BT350 BT-350 OR 146838,Receptor
AD2135,-1,CONVERSOR DE AUDIO OPTICO A RCA AUDIO SM-C7812,Conversor
AD2136,2,ADAPTADOR HUB USB CON 4 PUERTOS USB SX-36Â ,Adaptador
AD295,1,CABLE ADAPTADOR DE AUDIO TIPO USB-C A PLUG SAMSUNG JACK ADAPTER,Adaptador
AD706303,2,ADAPTADOR - DISPLAY PORT DP A VGA SM-C7822,Adaptador
AD7076,1,LECTOR DE MEMORIA MICRO SD NO:2400,Tarjeta de Memoria
AD7083,1,ADAPTADOR CONVERTIDOR LAN USB A RJ45 TP-LINK TL-UE200,Adaptador
AD7084,1,ADAPTADOR ALARGUE HDMI HEMBRA A HDMI HEMBRA CB-107,Adaptador
AD822N,1,ADAPTADOR USB WIFI TPLINK WN822N 300MBPS ALTA GANANCIA 822N,Adaptador
AS1066,2,CONTROL REMOTO SMART PARA SANSUMG	4K 63001,Control Remoto
AU127126,1,AURICULARES BT HAYLOU X1 NEO - BLACK,Auricular
AU127157,1,AURICULAR BT TIME COLORES JS18,Auricular
AU127158,1,AURICULAR BT TIME NEGRO AU-17005,Auricular
AU127160,2,AURICULAR INALAMBRICO DIGITAL TIME AU-17004,Auricular
AU127165,2,AURICULARES BT HAYLOU GT1 2023 / NEGRO,Auricular
AU127169,1,AURICULARES BLUETOOTH AURICULARES HAYLOU GT7 NEO / NEGRO,Auricular
AU1273357,1,AURICULARES BT XIAOMI REDMI BUDS 4 LITE / NEGRO,Auricular
AU1273577,2,AURICULARES BLUETOOTH M10,Auricular
AU12865,1,AURICULARES INALÃMBRICOS JBL TUNE 520BT 3582,Auricular
AU12871,1,AURICULARES P9 INALAMBRICO BT VINCHA BLUETOOTH BLANCO,Auricular
AU12992,4,AURICULARES AKG SAM GALAXI  S10+ CON CABLE  CAJA,Auricular
AU3282,1,AURICULARES BT NOGA NG-BTWINS 26 TACTIL NEGRO,Auricular
AU60146,2,AURICULARES IN-EAR XIAOMI MI HEADPHONES BASIC NEGRO ZBW4354TY 36659,Auricular
AU60169,1,AURICULAR CON MICROFONO DXAURIMIC23,Auricular
AU60224,1,AURICULAR BLUETOOTH PANGPAI P29,Auricular
AU60248,1,AURICULAR BT MANOS LIBRE MOTO BUDS 150 NEGRO,Auricular
AU60249,1,AURICULAR BT MANOS LIBRE MOTO BUDS 085 NEGRO,Auricular
B100,2,BANDEJA PORTA SIM SAM A10 / A10S / A20 / A30 / A50 / A70,Badeja SIM
B109,1,BANDEJA PORTA SIM SAM A32,Badeja SIM
B147,1,BANDEJA PORTA SIM SAMSUNG A03,Badeja SIM
B156,1,BANDEJA PORTA SIM SD XIAOMI REDMI 13C,Badeja SIM
B167,1,BANDEJA PORTA SIM MOTO G82,Badeja SIM
B326,1,BATERIA MOTO G7 PLAY / ONE TO,Bateria
B368,1,BATERIA SAM J2 PRIME / GRAND PRIME / J2 CORE ONLY,Bateria
B426,2,BATERIA IPHONE 6S MECHANIC EXTENDIDA/04540,Bateria
B429,2,BATERIA MOTO G7 POWER / ONE FUSION / G8 POWER LITE / G9 PLAY / E7 PLUS / G20 / G30 JK50 TO,Bateria
B450,1,BATERIA IPHONE SE (2020) - GOLD EDITION,Bateria
BILLCOUNTER-3,1,CONTADORA DE BILLETES GLOBAL CARGA SUPERIOR / VISOR DIGITAL Y EXTERNO / DETECCION DE BILLETES FALSOS - GLOBAL BILLCOUNTER-1,Libreria
C1,6,PIN CARGA MOTO G - E4 PLUS TABLET VARIOS,Pin Carga
C1055,1,"AURICULAR EXTRA BASS BLUETOOTH ONLY P15
P15",Auricular
C12,6,PIN CARGA MOTO G5 / G4 PLAY / C / G8 POWER LITE,Pin Carga
C1541,1,"CABLE THOR USB MOD25 / V8 / ROJO Y NEGRO ONLY 4,4A 1M",Cable
C2512,2,JOYSTICK XBOX 360 / PC CON CABLE 52A NJX301,Joystick
C26,1,PIN CARGA MOTO G2 - ALCATEL  C1,Pin Carga
C3,4,PIN CARGA SAM GRAND PRIME / J700 / J710 / J7NEO / J2 PRIME,Pin Carga
C4,4,PIN CARGA TABLET VARIOS 8520,Pin Carga
C41,1,PIN CARGA XIAOMI NOTE 7 / NOTE 9 / NOTE 9 PRO / NOTE 8 / NOTE 8 PRO / MI8 LITE / MI 11 LITE / POCO X3,Pin Carga
C44,1,PIN CARGA MOTO E5 PLUS / G6 PLAY / E6S / E6I/E5,Pin Carga
C47,6,PIN CARGA MOTO E7 / E5 PLAY,Pin Carga
C6,4,PIN CARGA SAM J7 PRO / J7 PRIME / J5 PRIME / J5 PRO / J5 /J1 / J320 / J4 / J6 / J8 /J 4 PLUS / J6PLUS / A10 / A02,Pin Carga
C61,1,PIN CARGA MOTO G7 POWER / G8 PLAY / G8 POWER / G9 PLAY /G9 POWER / ONE MACRO / G20 / G30,Pin Carga
C62,5,PIN CARGA SAM A22 5G / A20S /A04 / M12 / MOTO E7 / E7 POWER/ E7I POWER / LG K61 / K41S,Pin Carga
C6217,1,JOYSTICK PLAYSTATION PS4 ORIGINAL BLACK CUH-ZCT2U,Joystick
C6239,3,JOYSTICK BLUETOOTH CON SOPORTE PARA CELULAR SEISA SJ-A1006,Joystick
C6253,2,FILM MEMBRANA CONDUCTOR JOYSTICK PS4 JDM-040,Repuesto Joystick
C63,1,PIN CARGA MOTO G7 PLAY / G8 / G31 / G41 / G51 / G60S / G60 / ONE VISON SAM A11 / A02S / A03S,Pin Carga
C68,12,PIN CARGA SAM A01 / A03 / A03 CORE - LG K40 / K40S / K12 PLUS / Q60,Pin Carga
C7,1,PIN CARGA MOTO G5 PLUS G5S PLUS,Pin Carga
C7145,2,CARGADOR RAPIDO TURBO SEND S02- 4.8 A/ TIPO C,Cargador
C7149,9,CARGADOR DE NOTEBOOK UNIVERSAL ONLY 8 PINES 112403001,Cargador
C7167,1,"CARGADOR AUTO KOSMO 2 PUERTOS USB MOD 5,5CAR",Cargador
C72,7,PIN CARGA SAM A04S A21S A22 A32  M13 A12 A13 A15 A20 A23 A30 A31 A40 A50 A51 A60 A70 A71 HUAWEI P30 LITE,Pin Carga
C747,1,Camara Web Con Microfono (mini Packing) VGA 480p,Camara Web
C76,1,PIN CARGA MOTO E6 PLUS/E7 PLUS,Pin Carga
C79,1,PIN CARGA MOTO G10 / G20 / G50 / G22 / G52 / G32,Pin Carga
C7911,1,CABLE POWER ALIMENTACION PC / MONITOR 220V XC-P1801,Cable
C7912,2,CABLE POWER ALIMENTACION 8 OCHO PS4 PS3,Cable
C7918,1,CABLE USB 2.4 MOD44  TIPO C  COLORES ONLY,Cable
C7921,14,"CABLE USB MOD 50 - TIPO C - 3,1A  BLANCO/NEGRO",Cable
C7949,1,"CABLE USB SEND TIPO C A C TURBO 3,1 SB01 BLANCO",Cable
C80,11,PIN CARGA SAM A33 / A52 / A72 / A82,Pin Carga
C81,8,PIN CARGA SAM A53 / A73,Pin Carga
C8110,1,PLACA DE RED PCI-E 300N 2X 2DBI TP-LINK TL-WN881ND,Conectividad
C85,1,PIN CARGA MOTO EDGE / EDGE 20/ EDGE 20 PRO / EDGE 30 / EDGE 30 PRO / G100,Pin Carga
CA1-5M,1,CABLE HDMI A HDMI /1.5MT/ COLOR NEGRO,Cable
CA11444,1,CAMARA DE SEGURIDAD EZVIZ H3C 1080P EXTERIOR IP67 VISION NOCTURNA CON WIFI,Conectividad
CA11446,1,CAMARA DE SEGURIDAD IMOU RANGER 2C 1080P AUDIO VISIÃ“N NOCTURNA VISION 360,Camara de Seguridad
CA11447,1,CAMARA DE SEGURIDAD EXTERIOR IMOU BULLET 2C 1080P VISION NOCTURNA CON WIFI,Conectividad
CA1146289,1,CAMARA EXTERIOR IP WIFI IMOU BULLET 2E 4MP F42FP,Conectividad
CA11512,1,Web Cam Logitech C270 black 960-000694,Camara Web
CA6129,2,CARGADOR PORTABLE POWER BANK 10000MAH T-D04 TRANYCO,Cargador
CA6138,1,CARGADOR MOTOROLA 50W DOBLE PUERTO CON CABLE C A C EN CAJA,Cargador
CA6139,1,"CARGADOR PARLANTE 9V 1,5A EC9V15A",Parlante
CA6143,2,"CARGADOR 220V ONLY 05031A / 2 USB / 1 CABLE V8 4,4A NEGRO",Cargador
CA6144,3,"CARGADOR 220V XAEA 27W/ 1 USB / CABLE / NEGRO QC 3,0",Cargador
CA6169,2,CARGADOR CABEZAL SAMSUNG 65W SUPER RAPIDA / SALIDA 1 USB / 2 TIPO C,Cargador
CA6170,9,CABEZAL CARGADOR 220V XAEA OPTIMUM 5A 45W (USB C+ USB A),Cargador
CA6173,3,CARGADOR SAM 25W CON USB C A C CARGA SUPER RAPIDA 5A NB-0009,Cargador
CA6175,1,CARGADOR POWERBANK USB PORTATIL 20000MAH TRANYCO T-D09,Cargador
CA6177,1,CARGADOR PORTABLE POWER BANK 10000 MAH T-D08 TRANYCO,Cargador
CA67123,10,"CARGADOR 220V ONLY 05031A / 1 USB / CABLE V8 / 4,4A",Cargador
CA71100,2,"CARGADOR 220V ONLY MOD06 / 1 USB / CABLE TIPO C 4,4A",Cargador
CA71105,4,CARGADOR DE NOTEBOOK UNIVERSAL AUTOMATICO 90W ONLY 8 PINES 116300495,Cargador
CA71118,1,CARGADOR RAPIDO SEND S01 3.1A MICRO USB V8 5V 3.1A / 9V 1.8A / 12V 1.5A TECNOLOGIA QUALCOMM,Cargador
CA7170,3,CARGADOR RAPIDO SEND TURBO - S01-  3.1A TIPO C / 5V 3.1A / 9V 1.8A / 12V 1.5A,Cargador
CA7171,2,CARGADOR RAPIDO SEND TURBO- S01- 3.1A USB A TIPO C / 5V 3.1A / 9V 1.8A / 12V 1.5A,Cargador
CA7179,3,CARGADOR AUTO TURBO SEND CARGA RAPIDA  USB TIPO C SMART CHARGER,Cargador
CA7195,1,CARGADOR CELULAR USB 2.4A 9 USB WLX-T9,Cargador
CA7196,1,CARGADOR TRANSFORMADOR 5V 2A PIN 2.5 FINO (3139B),Cargador
CA7199,2,FUENTE 800MA MULTIPLE VOLTAJE Y CONECTORES UNIVERSAL NOGANET NOGA 79,Herramienta
CA74122,1,CABLE USB 2.0 A MINI USB / V3 / PS3 / 1.5MTS NETMAK NM-C20,Cable
CA74139,2,CABLE HDMI V1.4 (20 MTRS.) SOPORTA 3D BOLSA NETMAK NM-C47 20,Cable
CA74145,9,CABLE USB IPHONE CARGA RAPIDA LIGTNING TO USB 1M MD818ZM/A1480,Cable
CA74149,1,CABLE DE RED DINAX PATCH CORD 15MTS DX-15MCABRE,Cable
CA74154,2,CABLE USB G POWER 5A TIPO C 1M,Cable
CA7416,3,CABLE SATA DATOS NOGANET SATA-D (OEM) NOGANET SATA-D,Cable
CA74190,1,CABLE USB SAMSUNG TIPO C A C (3A),Cable
CA74191,0,CABLE HDMI A VGA 1.5M MALLADO HDTV TO VGA,Cable
CA74195,1,CABLE VGA M/M 1.5M NETMAK NM-C18,Cable
CA74200,4,CABLE DE VGA A VGA CON FILTROS 3 METROS LARGO - VGA 3M NOGA SM-1039,Cable
CA74202,1,CABLE DE RED ETHERNET CAT6 DE 20 METROS - EXTERIOR,Cable
CA74204,1,CABLE DE RED ETHERNET CAT6 DE 5 METROS - EXTERIOR,Cable
CA74205,2,SEISA KIT COMPLETO TIRA LUCES LUZ LED 5050 RGB + CONTROL + FUENTE 12V,Herramienta
CA74207,1,Adaptador Usb Tipo C A Hdmi Y Vga - De Notebook A Monitor 5 EN 1 /HC-11,Adaptador
CA74208,1,Adaptador Tipo C A HDTV SEISA HC-66B,Adaptador
CA74210,0,Cable DVI-D A DVI-D,Cable
CA7430,1,CAMARA WEB WEBCAM XIAOMI W88 FULL HD(1080P),Camara Web
CA7431,3,CAMARA WIFI EZVIZ INTERIOR INTELIGENTE - C6N 1080P,Conectividad
